"lat","lon","fips","stname","ctyname","cbsa_desig","pop_2020","pct_pop_change","partisan_lean","life_exp","avg_ann_temp","broadband_2017","years_to_payoff","violent_crime_rate","avg_daily_pm_2_5","prim_care_dr_rate"
32.523283,-86.577176,"01001","Alabama","Autauga","metro-central",56145,2.9,27,75.67,80.4,76.6,2.7,272.3,11.7,45
30.592781,-87.74826,"01003","Alabama","Baldwin","metro-central",229287,25.8,22.4,78.08,81.6,74.5,3.6,203.7,10.3,72.9
31.856515,-85.331312,"01005","Alabama","Barbour","rural-faraway",24589,-10.4,45.8,75.42,79.4,57.2,3.2,414.3,11.5,31.7
33.040054,-87.123243,"01007","Alabama","Bibb","metro-outlying",22136,-3.4,20.7,73.97,78.9,62,2,89.3,11.2,48.5
33.978461,-86.554768,"01009","Alabama","Blount","metro-outlying",57879,1,9.6,76.16,78,65.8,2.7,482.7,11.7,22.4
32.098285,-85.704915,"01011","Alabama","Bullock","rural-faraway",9976,-8.6,74.7,73.86,79.2,49.4,2.1,311,11.2,29.1
31.735884,-86.662232,"01013","Alabama","Butler","rural-faraway",19504,-6.9,41.8,73.39,80.6,58.2,2,581.6,10.6,25.2
33.741989,-85.817544,"01015","Alabama","Calhoun","metro-central",113469,-4.3,29.8,74.02,78.3,71,2.4,756.1,11.8,63.6
32.891233,-85.288745,"01017","Alabama","Chambers","micro-central",32865,-3.9,41.6,74.06,78.3,62.8,2.3,529,11.4,41.5
34.184158,-85.62193,"01019","Alabama","Cherokee","rural-faraway",26294,1.2,13.2,75.08,77.5,67.5,2.7,330.4,11.4,38.7
32.852554,-86.689982,"01021","Alabama","Chilton","metro-outlying",44397,1.7,15.9,74.53,79.1,56.6,2.6,507.8,11.2,20.4
32.027681,-88.257855,"01023","Alabama","Choctaw","rural-faraway",12418,-10.4,41.9,75.29,80.8,52.3,2.1,128.4,10.1,38.6
31.688155,-87.834164,"01025","Alabama","Clarke","rural-faraway",23291,-9.8,43.8,75.46,80.8,47.3,2.3,475.3,10.4,54
33.26581,-85.842858,"01027","Alabama","Clay","rural-faraway",13112,-5.9,18.3,75.06,77.3,66,2.4,309.1,10.6,37.4
33.647948,-85.511937,"01029","Alabama","Cleburne","rural-faraway",14967,0,9.3,74.3,76.9,57.8,2.3,103.3,11,26.8
31.378987,-85.956841,"01031","Alabama","Coffee","micro-central",53230,6.6,22.8,76.48,80.4,75.3,2.5,276.2,10.9,54
34.73148,-87.72596,"01033","Alabama","Colbert","metro-central",55411,1.8,29.9,75.07,79,65.9,2.3,400,10.7,64.2
31.415613,-87.002108,"01035","Alabama","Conecuh","rural-faraway",11851,-10.4,46,74.05,81.8,40.7,2.2,387.4,10.3,40.1
32.955511,-86.236319,"01037","Alabama","Coosa","micro-outlying",10650,-7.7,32.8,75.19,78.6,58.2,2.2,254.8,11,NA
31.251036,-86.416195,"01039","Alabama","Covington","rural-faraway",36930,-2.2,15.6,75.15,81.2,64.7,2.4,331.1,10.5,51.2
31.710365,-86.289299,"01041","Alabama","Crenshaw","rural-faraway",13681,-1.6,25.7,74.07,79.8,57.1,2,331.9,10.7,14.4
34.155603,-86.830179,"01043","Alabama","Cullman","micro-central",84515,5.1,10.7,75.31,77.8,65.2,2.7,129.4,11.6,55.6
31.3941,-85.615013,"01045","Alabama","Dale","micro-central",48959,-2.6,26.2,76.26,80.3,69.8,2.3,436.7,11,18.3
32.379942,-87.065563,"01047","Alabama","Dallas","micro-central",36098,-17.6,68.5,72.39,80.8,57.7,2.4,924.6,11.1,74
34.459133,-85.798919,"01049","Alabama","DeKalb","rural-faraway",71658,0.8,14.6,75.25,76.1,61,2.4,312.3,11.3,41.9
32.596847,-86.170765,"01051","Alabama","Elmore","metro-central",82158,3.6,25.3,75.93,80,78.2,2.6,238.7,11.9,25.7
31.104135,-87.23288,"01053","Alabama","Escambia","rural-faraway",36281,-5.3,30.9,74.15,82,54.9,2.7,446.2,10.2,34.7
34.018597,-86.032125,"01055","Alabama","Etowah","metro-central",102371,-2,24.2,73.85,78.2,68.4,2.6,604,11.5,80.8
33.747077,-87.751725,"01057","Alabama","Fayette","rural-faraway",16241,-5.8,15.9,73.98,78.5,64.1,2.1,NA,10.6,97.2
34.465405,-87.832638,"01059","Alabama","Franklin","rural-faraway",31507,-0.6,16.6,73.31,77.9,60.3,2.1,264.2,10.5,44.5
31.094579,-85.796983,"01061","Alabama","Geneva","metro-outlying",26411,-1.4,12.7,75.54,80.8,64.3,2.2,413.6,10.6,30.3
32.837254,-87.950852,"01063","Alabama","Greene","rural-faraway",7990,-11.7,81.3,74.05,79.8,42,3.5,669.3,10.5,48
32.768094,-87.635687,"01065","Alabama","Hale","metro-outlying",14670,-6.9,59,74.01,79.6,50.7,2.4,208.6,10.8,20.3
31.493511,-85.25376,"01067","Alabama","Henry","metro-outlying",17223,-0.5,28,75.97,80.2,68.3,2.1,197.4,10.9,29.2
31.189731,-85.350387,"01069","Alabama","Houston","metro-central",106580,5,28,76.81,81.1,67.6,2.9,487.8,10.7,84.3
34.755318,-85.948462,"01071","Alabama","Jackson","micro-central",51582,-3.1,15.7,74.13,76.8,62.7,2.4,317,11,53.9
33.527872,-86.82805,"01073","Alabama","Jefferson","metro-central",655342,-0.5,55.8,75.34,78.7,73,3,872.8,13.4,107.6
33.772995,-88.084702,"01075","Alabama","Lamar","rural-faraway",13764,-5.5,13.6,74.83,78.9,58.3,2.1,162.2,10.3,NA
34.87689,-87.6057,"01077","Alabama","Lauderdale","metro-central",93368,0.7,26.9,76.5,78.8,65.4,2.6,268.6,11,50.8
34.554375,-87.302184,"01079","Alabama","Lawrence","metro-outlying",32857,-4.3,22.2,74.33,77.9,55.7,2.5,260.5,11.3,15.1
32.607485,-85.328947,"01081","Alabama","Lee","metro-central",166831,19,39,76.52,78.8,78.2,3.2,415.6,12.1,52.6
